2842952,1238761,EVT20172842952,WC20171238761
2843847,1239642,EVT20172843847,WC20171239642
2843846,1239641,EVT20172843846,WC20171239641
2843845,1239640,EVT20172843845,WC20171239640
2843844,1239639,EVT20172843844,WC20171239639
2843843,1239638,EVT20172843843,WC20171239638
2843842,1239637,EVT20172843842,WC20171239637
2843840,1239635,EVT20172843840,WC20171239635
2843841,1239636,EVT20172843841,WC20171239636
2843839,1239634,EVT20172843839,WC20171239634
2843838,1239633,EVT20172843838,WC20171239633
2843837,1239632,EVT20172843837,WC20171239632
2843836,1239631,EVT20172843836,WC20171239631
2843835,1239630,EVT20172843835,WC20171239630
2843833,1239628,EVT20172843833,WC20171239628
2843834,1239629,EVT20172843834,WC20171239629
2843832,1239627,EVT20172843832,WC20171239627
2843831,1239626,EVT20172843831,WC20171239626
2843830,1239625,EVT20172843830,WC20171239625
2843829,1239624,EVT20172843829,WC20171239624
2843828,1239623,EVT20172843828,WC20171239623
2843827,1239622,EVT20172843827,WC20171239622
2843826,1239621,EVT20172843826,WC20171239621
2843825,1239620,EVT20172843825,WC20171239620
2843824,1239619,EVT20172843824,WC20171239619
2843823,1239618,EVT20172843823,WC20171239618
2843822,1239617,EVT20172843822,WC20171239617
2843821,1239616,EVT20172843821,WC20171239616
2843820,1239615,EVT20172843820,WC20171239615
2843819,1239614,EVT20172843819,WC20171239614
2843818,1239613,EVT20172843818,WC20171239613
2843817,1239612,EVT20172843817,WC20171239612
2843816,1239611,EVT20172843816,WC20171239611
2843815,1239610,EVT20172843815,WC20171239610
2843814,1239609,EVT20172843814,WC20171239609
2843813,1239608,EVT20172843813,WC20171239608
2843812,1239607,EVT20172843812,WC20171239607
2843811,1239606,EVT20172843811,WC20171239606
2843810,1239605,EVT20172843810,WC20171239605
2843809,1239604,EVT20172843809,WC20171239604
2843808,1239603,EVT20172843808,WC20171239603
2843807,1239602,EVT20172843807,WC20171239602
2843806,1239601,EVT20172843806,WC20171239601
2843805,1239600,EVT20172843805,WC20171239600
2843804,1239599,EVT20172843804,WC20171239599
2843803,1239598,EVT20172843803,WC20171239598
2843802,1239597,EVT20172843802,WC20171239597
2843801,1239596,EVT20172843801,WC20171239596
2843800,1239595,EVT20172843800,WC20171239595
2843799,1239594,EVT20172843799,WC20171239594
2843798,1239593,EVT20172843798,WC20171239593
2843797,1239592,EVT20172843797,WC20171239592
2843796,1239591,EVT20172843796,WC20171239591
2843795,1239590,EVT20172843795,WC20171239590
2843794,1239589,EVT20172843794,WC20171239589
2843793,1239588,EVT20172843793,WC20171239588
2843792,1239587,EVT20172843792,WC20171239587
2843791,1239586,EVT20172843791,WC20171239586
2843790,1239585,EVT20172843790,WC20171239585
2843789,1239584,EVT20172843789,WC20171239584
2843788,1239583,EVT20172843788,WC20171239583
2843787,1239582,EVT20172843787,WC20171239582
2843786,1239581,EVT20172843786,WC20171239581
2843785,1239580,EVT20172843785,WC20171239580
2843784,1239579,EVT20172843784,WC20171239579
2843783,1239578,EVT20172843783,WC20171239578
2843782,1239577,EVT20172843782,WC20171239577
2843781,1239576,EVT20172843781,WC20171239576
2843780,1239575,EVT20172843780,WC20171239575
2843779,1239574,EVT20172843779,WC20171239574
2843778,1239573,EVT20172843778,WC20171239573
2843777,1239572,EVT20172843777,WC20171239572
2843776,1239571,EVT20172843776,WC20171239571
2843775,1239570,EVT20172843775,WC20171239570
2843774,1239569,EVT20172843774,WC20171239569
2843773,1239568,EVT20172843773,WC20171239568
2843772,1239567,EVT20172843772,WC20171239567
2843771,1239566,EVT20172843771,WC20171239566
2843770,1239565,EVT20172843770,WC20171239565
2843768,1239563,EVT20172843768,WC20171239563
2843769,1239564,EVT20172843769,WC20171239564
2843767,1239562,EVT20172843767,WC20171239562
2843766,1239561,EVT20172843766,WC20171239561
2843765,1239560,EVT20172843765,WC20171239560
2843764,1239559,EVT20172843764,WC20171239559
2843763,1239558,EVT20172843763,WC20171239558
2843762,1239557,EVT20172843762,WC20171239557
2843761,1239556,EVT20172843761,WC20171239556
2843760,1239555,EVT20172843760,WC20171239555
2843759,1239554,EVT20172843759,WC20171239554
2843758,1239553,EVT20172843758,WC20171239553
2843757,1239552,EVT20172843757,WC20171239552
2843756,1239551,EVT20172843756,WC20171239551
2843755,1239550,EVT20172843755,WC20171239550
2843754,1239549,EVT20172843754,WC20171239549
2843753,1239548,EVT20172843753,WC20171239548
2843752,1239547,EVT20172843752,WC20171239547
2843751,1239546,EVT20172843751,WC20171239546
2843750,1239545,EVT20172843750,WC20171239545
2843749,1239544,EVT20172843749,WC20171239544
2843748,1239543,EVT20172843748,WC20171239543
2843747,1239542,EVT20172843747,WC20171239542
2843746,1239541,EVT20172843746,WC20171239541
2843744,1239539,EVT20172843744,WC20171239539
2843745,1239540,EVT20172843745,WC20171239540
2843743,1239538,EVT20172843743,WC20171239538
2843742,1239537,EVT20172843742,WC20171239537
2843741,1239536,EVT20172843741,WC20171239536
2843740,1239535,EVT20172843740,WC20171239535
2843739,1239534,EVT20172843739,WC20171239534
2843738,1239533,EVT20172843738,WC20171239533
2843737,1239532,EVT20172843737,WC20171239532
2843736,1239531,EVT20172843736,WC20171239531
2843735,1239530,EVT20172843735,WC20171239530
2843734,1239529,EVT20172843734,WC20171239529
2843733,1239528,EVT20172843733,WC20171239528
2843731,1239526,EVT20172843731,WC20171239526
2843732,1239527,EVT20172843732,WC20171239527
2843730,1239525,EVT20172843730,WC20171239525
2843729,1239524,EVT20172843729,WC20171239524
2843728,1239523,EVT20172843728,WC20171239523
2843727,1239522,EVT20172843727,WC20171239522
2843726,1239521,EVT20172843726,WC20171239521
2843725,1239520,EVT20172843725,WC20171239520
2843724,1239519,EVT20172843724,WC20171239519
2843723,1239518,EVT20172843723,WC20171239518
2843722,1239517,EVT20172843722,WC20171239517
2843721,1239516,EVT20172843721,WC20171239516
2843720,1239515,EVT20172843720,WC20171239515
2843719,1239514,EVT20172843719,WC20171239514
2843718,1239513,EVT20172843718,WC20171239513
2843717,1239512,EVT20172843717,WC20171239512
2843716,1239511,EVT20172843716,WC20171239511
2843715,1239510,EVT20172843715,WC20171239510
2843714,1239509,EVT20172843714,WC20171239509
2843713,1239508,EVT20172843713,WC20171239508
2843712,1239507,EVT20172843712,WC20171239507
2843710,1239505,EVT20172843710,WC20171239505
2843711,1239506,EVT20172843711,WC20171239506
2843708,1239503,EVT20172843708,WC20171239503
2843709,1239504,EVT20172843709,WC20171239504
2843707,1239502,EVT20172843707,WC20171239502
2843706,1239501,EVT20172843706,WC20171239501
2843705,1239500,EVT20172843705,WC20171239500
2843704,1239499,EVT20172843704,WC20171239499
2843703,1239498,EVT20172843703,WC20171239498
2843702,1239497,EVT20172843702,WC20171239497
2843701,1239496,EVT20172843701,WC20171239496
2843700,1239495,EVT20172843700,WC20171239495
2843699,1239494,EVT20172843699,WC20171239494
2843698,1239493,EVT20172843698,WC20171239493
2843697,1239492,EVT20172843697,WC20171239492
2843696,1239491,EVT20172843696,WC20171239491
2843695,1239490,EVT20172843695,WC20171239490
2843694,1239489,EVT20172843694,WC20171239489
2843693,1239488,EVT20172843693,WC20171239488
2843692,1239487,EVT20172843692,WC20171239487
2843691,1239486,EVT20172843691,WC20171239486
2843690,1239485,EVT20172843690,WC20171239485
2843689,1239484,EVT20172843689,WC20171239484
2843688,1239483,EVT20172843688,WC20171239483
2843687,1239482,EVT20172843687,WC20171239482
2843686,1239481,EVT20172843686,WC20171239481
2843685,1239480,EVT20172843685,WC20171239480
2843684,1239479,EVT20172843684,WC20171239479
2843682,1239477,EVT20172843682,WC20171239477
2843683,1239478,EVT20172843683,WC20171239478
2843681,1239476,EVT20172843681,WC20171239476
2843680,1239475,EVT20172843680,WC20171239475
2843679,1239474,EVT20172843679,WC20171239474
2843678,1239473,EVT20172843678,WC20171239473
2843677,1239472,EVT20172843677,WC20171239472
2843676,1239471,EVT20172843676,WC20171239471
2843675,1239470,EVT20172843675,WC20171239470
2843674,1239469,EVT20172843674,WC20171239469
2843673,1239468,EVT20172843673,WC20171239468
2843672,1239467,EVT20172843672,WC20171239467
2843671,1239466,EVT20172843671,WC20171239466
2843670,1239465,EVT20172843670,WC20171239465
2843669,1239464,EVT20172843669,WC20171239464
2843668,1239463,EVT20172843668,WC20171239463
2843667,1239462,EVT20172843667,WC20171239462
2843666,1239461,EVT20172843666,WC20171239461
2843665,1239460,EVT20172843665,WC20171239460
2843664,1239459,EVT20172843664,WC20171239459
2843663,1239458,EVT20172843663,WC20171239458
2843662,1239457,EVT20172843662,WC20171239457
2843661,1239456,EVT20172843661,WC20171239456
2843660,1239455,EVT20172843660,WC20171239455
2843659,1239454,EVT20172843659,WC20171239454
2843658,1239453,EVT20172843658,WC20171239453
2843657,1239452,EVT20172843657,WC20171239452
2843656,1239451,EVT20172843656,WC20171239451
2843655,1239450,EVT20172843655,WC20171239450
2843654,1239449,EVT20172843654,WC20171239449
2843653,1239448,EVT20172843653,WC20171239448
2843652,1239447,EVT20172843652,WC20171239447
2843651,1239446,EVT20172843651,WC20171239446
2843647,1239442,EVT20172843647,WC20171239442
2843646,1239441,EVT20172843646,WC20171239441
2843645,1239440,EVT20172843645,WC20171239440
2843644,1239439,EVT20172843644,WC20171239439
2843643,1239438,EVT20172843643,WC20171239438
2843642,1239437,EVT20172843642,WC20171239437
2843641,1239436,EVT20172843641,WC20171239436
2843640,1239435,EVT20172843640,WC20171239435
2843639,1239434,EVT20172843639,WC20171239434
2843638,1239433,EVT20172843638,WC20171239433
2843637,1239432,EVT20172843637,WC20171239432
2843636,1239431,EVT20172843636,WC20171239431
2843634,1239429,EVT20172843634,WC20171239429
2843635,1239430,EVT20172843635,WC20171239430
2843633,1239428,EVT20172843633,WC20171239428
2843632,1239427,EVT20172843632,WC20171239427
2843630,1239425,EVT20172843630,WC20171239425
2843631,1239426,EVT20172843631,WC20171239426
2843628,1239423,EVT20172843628,WC20171239423
2843627,1239422,EVT20172843627,WC20171239422
2843629,1239424,EVT20172843629,WC20171239424
2843626,1239421,EVT20172843626,WC20171239421
2843625,1239420,EVT20172843625,WC20171239420
2843624,1239419,EVT20172843624,WC20171239419
2843623,1239418,EVT20172843623,WC20171239418
2843622,1239417,EVT20172843622,WC20171239417
2843621,1239416,EVT20172843621,WC20171239416
2843620,1239415,EVT20172843620,WC20171239415
2843619,1239414,EVT20172843619,WC20171239414
2843618,1239413,EVT20172843618,WC20171239413
2843617,1239412,EVT20172843617,WC20171239412
2843616,1239411,EVT20172843616,WC20171239411
2843615,1239410,EVT20172843615,WC20171239410
2843614,1239409,EVT20172843614,WC20171239409
2843613,1239408,EVT20172843613,WC20171239408
2843612,1239407,EVT20172843612,WC20171239407
2843611,1239406,EVT20172843611,WC20171239406
2843610,1239405,EVT20172843610,WC20171239405
2843609,1239404,EVT20172843609,WC20171239404
2843608,1239403,EVT20172843608,WC20171239403
2843607,1239402,EVT20172843607,WC20171239402
2843606,1239401,EVT20172843606,WC20171239401
2843605,1239400,EVT20172843605,WC20171239400
2843604,1239399,EVT20172843604,WC20171239399
2843603,1239398,EVT20172843603,WC20171239398
2843602,1239397,EVT20172843602,WC20171239397
2843601,1239396,EVT20172843601,WC20171239396
2843600,1239395,EVT20172843600,WC20171239395
2843599,1239394,EVT20172843599,WC20171239394
2843598,1239393,EVT20172843598,WC20171239393
2843597,1239392,EVT20172843597,WC20171239392
2843596,1239391,EVT20172843596,WC20171239391
2843595,1239390,EVT20172843595,WC20171239390
2843594,1239389,EVT20172843594,WC20171239389
